idx,gpt_factuality
0,0.0
1,1.0
2,1.0
3,1.0
4,0.0
5,0.0
6,1.0
7,1.0
8,0.0
9,1.0
10,1.0
11,0.0
12,1.0
13,1.0
14,0.0
15,0.0
16,0.5
17,0.0
18,0.0
19,1.0
20,0.0
21,1.0
22,1.0
23,1.0
24,0.5
25,1.0
26,1.0
27,1.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,1.0
34,1.0
35,1.0
36,0.0
37,0.0
38,0.0
39,1.0
40,0.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,0.0
49,1.0
50,1.0
51,1.0
52,1.0
53,0.0
54,0.0
55,1.0
56,1.0
57,0.0
58,1.0
59,1.0
60,0.0
61,0.0
62,0.0
63,0.0
64,1.0
65,0.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,0.0
73,1.0
74,0.0
75,0.5
76,1.0
77,1.0
78,1.0
79,1.0
80,0.0
81,1.0
82,1.0
83,0.0
84,1.0
85,1.0
86,0.0
87,0.0
88,1.0
89,0.0
90,1.0
91,0.0
92,1.0
93,1.0
94,1.0
95,1.0
96,0.0
97,0.0
98,0.5
99,0.0
100,0.0
101,0.9
102,0.0
103,0.0
104,1.0
105,0.0
106,1.0
107,1.0
108,1.0
109,0.0
110,0.5
111,1.0
112,0.0
113,1.0
114,0.5
115,0.0
116,1.0
117,0.0
118,0.0
119,1.0
120,0.0
121,1.0
122,0.0
123,0.0
124,1.0
125,0.0
126,1.0
127,0.0
128,0.5
129,0.0
130,1.0
131,1.0
132,0.0
133,0.0
134,1.0
135,1.0
136,1.0
137,1.0
138,0.0
139,1.0
140,1.0
141,0.0
142,1.0
143,0.0
144,0.5
145,1.0
146,0.0
147,0.5
148,1.0
149,1.0
150,0.5
151,0.5
152,1.0
153,0.5
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,0.0
162,1.0
163,0.0
164,1.0
165,1.0
166,1.0
167,0.0
168,0.0
169,1.0
170,0.0
171,0.0
172,1.0
173,0.5
174,0.0
175,0.5
176,1.0
177,1.0
178,1.0
179,1.0
180,0.5
181,0.0
182,0.0
183,1.0
184,1.0
185,1.0
186,0.5
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,0.5
195,0.0
196,1.0
197,1.0
198,1.0
199,0.0
200,0.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,0.5
209,0.0
210,1.0
211,0.0
212,0.5
213,1.0
214,0.0
215,0.0
216,0.0
217,0.5
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,0.0
224,1.0
225,1.0
226,0.0
227,0.5
228,1.0
229,0.5
230,1.0
231,1.0
232,0.0
233,0.5
234,0.5
235,1.0
236,0.0
237,1.0
238,0.0
239,0.0
240,1.0
241,0.5
242,0.0
243,0.0
244,1.0
245,1.0
246,1.0
247,1.0
248,0.0
249,1.0
250,1.0
251,0.0
252,1.0
253,1.0
254,0.5
255,0.0
256,1.0
257,1.0
258,1.0
259,0.0
260,0.0
261,0.5
262,1.0
263,1.0
264,0.0
265,1.0
266,1.0
267,0.5
268,0.0
269,1.0
270,0.5
271,1.0
272,0.5
273,0.0
274,1.0
275,1.0
276,1.0
277,0.0
278,1.0
279,0.5
280,0.0
281,1.0
282,0.0
283,1.0
284,1.0
285,0.0
286,0.0
287,1.0
288,1.0
289,1.0
290,1.0
291,0.0
292,0.0
293,1.0
294,0.0
295,0.5
296,1.0
297,1.0
298,1.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,1.0
305,1.0
306,1.0
307,1.0
308,0.0
309,1.0
310,0.0
311,1.0
312,1.0
313,1.0
314,1.0
315,0.0
316,0.5
317,1.0
318,1.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,1.0
325,0.0
326,1.0
327,0.0
328,0.0
329,0.0
330,0.0
331,1.0
332,0.0
333,1.0
334,1.0
335,0.0
336,1.0
337,0.0
338,1.0
339,1.0
340,0.0
341,1.0
342,1.0
343,1.0
344,1.0
345,0.0
346,0.0
347,1.0
348,0.0
349,1.0
350,0.0
351,0.0
352,0.0
353,1.0
354,0.0
355,1.0
356,0.5
357,1.0
358,1.0
359,1.0
360,1.0
361,1.0
362,1.0
363,0.0
364,1.0
365,1.0
366,1.0
367,1.0
368,1.0
369,0.0
370,0.0
371,0.0
372,0.5
373,0.0
374,1.0
375,1.0
376,0.0
377,1.0
378,1.0
379,0.0
380,0.5
381,1.0
382,1.0
383,0.5
384,1.0
385,1.0
386,1.0
387,1.0
388,0.0
389,0.0
390,0.0
391,1.0
392,1.0
393,0.0
394,1.0
395,1.0
396,1.0
397,1.0
398,0.0
399,1.0
400,1.0
401,0.0
402,1.0
403,0.0
404,1.0
405,1.0
406,1.0
407,0.0
408,1.0
409,1.0
410,0.0
411,0.5
412,1.0
413,1.0
414,1.0
415,1.0
416,0.5
417,1.0
418,0.0
419,1.0
420,0.0
421,0.0
422,1.0
423,1.0
424,1.0
425,1.0
426,1.0
427,1.0
428,1.0
429,1.0
430,1.0
431,1.0
432,1.0
433,0.0
434,0.5
435,1.0
436,1.0
437,0.0
438,1.0
439,0.0
440,1.0
441,0.0
442,0.5
443,1.0
444,0.0
445,1.0
446,0.5
447,0.5
448,0.0
449,1.0
450,0.0
451,0.5
452,1.0
453,1.0
454,1.0
455,0.5
456,1.0
457,1.0
458,1.0
459,1.0
460,1.0
461,1.0
462,1.0
463,1.0
464,0.0
465,1.0
466,1.0
467,0.0
468,0.0
469,1.0
470,1.0
471,0.0
472,1.0
473,1.0
474,1.0
475,1.0
476,0.0
477,0.0
478,0.0
479,0.0
480,1.0
481,1.0
482,1.0
483,0.0
484,0.5
485,0.0
486,1.0
487,0.0
488,0.0
489,1.0
490,1.0
491,1.0
492,1.0
493,1.0
494,1.0
495,0.0
496,1.0
497,1.0
498,1.0
499,1.0
500,0.0
501,1.0
502,1.0
503,1.0
504,1.0
505,0.0
506,1.0
507,1.0
508,1.0
509,1.0
510,1.0
511,1.0
512,1.0
513,1.0
514,0.5
515,0.5
516,1.0
517,1.0
518,1.0
519,0.0
520,0.0
521,1.0
522,0.0
523,0.0
524,1.0
525,0.0
526,0.0
527,1.0
528,1.0
529,1.0
530,1.0
531,0.0
532,0.0
533,0.5
534,0.0
535,0.0
536,1.0
537,0.5
538,0.0
539,1.0
540,0.0
541,0.0
542,0.5
543,1.0
544,1.0
545,0.0
546,0.0
547,1.0
548,1.0
549,1.0
550,1.0
551,0.0
552,1.0
553,0.0
554,0.0
555,0.0
556,1.0
557,0.5
558,0.5
559,1.0
560,1.0
561,1.0
562,1.0
563,1.0
564,1.0
565,0.0
566,0.0
567,0.5
568,0.0
569,0.0
570,0.0
571,1.0
572,0.0
573,0.5
574,1.0
575,0.0
576,1.0
577,1.0
578,1.0
579,0.0
580,1.0
581,0.0
582,0.0
583,1.0
584,0.0
585,1.0
586,1.0
587,0.5
588,1.0
589,1.0
590,1.0
591,1.0
592,1.0
593,0.5
594,1.0
595,0.0
596,0.0
597,1.0
598,1.0
599,0.0
600,1.0
601,0.0
602,1.0
603,1.0
604,0.0
605,0.0
606,1.0
607,0.0
608,1.0
609,1.0
610,0.0
611,1.0
612,1.0
613,1.0
614,0.0
615,1.0
616,0.0
617,1.0
618,0.0
619,1.0
620,1.0
621,1.0
622,1.0
623,1.0
624,0.0
625,0.0
626,1.0
627,1.0
628,1.0
629,0.5
630,0.0
631,0.5
632,1.0
633,1.0
634,1.0
635,1.0
636,1.0
637,1.0
638,0.0
